Experiment,Location,Structure,Position,Species,Origin,Treatment,Remarks,Date_0,AVG_0,R_0,G_0,B_0,ControlAVG_0,ControlR_0,ControlG_0,ControlB_0,Survival_0,Cause_0,Comments_0,Date_1,AVG_1,R_1,G_1,B_1,ControlAVG_1,ControlR_1,ControlG_1,ControlB_1,Survival_1,Cause_1,Comments_1,Date_2,AVG_2,R_2,G_2,B_2,ControlAVG_2,ControlR_2,ControlG_2,ControlB_2,Survival_2,Cause_2,Comments_2,Date_3,AVG_3,R_3,G_3,B_3,ControlAVG_3,ControlR_3,ControlG_3,ControlB_3,Survival_3,Cause_3,Comments_3,Date_4,AVG_4,R_4,G_4,B_4,ControlAVG_4,ControlR_4,ControlG_4,ControlB_4,Survival_4,Cause_4,Comments_4,Date_5,AVG_5,R_5,G_5,B_5,ControlAVG_5,ControlR_5,ControlG_5,ControlB_5,Survival_5,Cause_5,Comments_5,Date_6,AVG_6,R_6,G_6,B_6,ControlAVG_6,ControlR_6,ControlG_6,ControlB_6,Survival_6,Cause_6,Comments_6,Date_7,AVG_7,R_7,G_7,B_7,ControlAVG_7,ControlR_7,ControlG_7,ControlB_7,Survival_7,Cause_7,Comments_7,Date_8,AVG_8,R_8,G_8,B_8,ControlAVG_8,ControlR_8,ControlG_8,ControlB_8,Survival_8,Cause_8,Comments_8,Date_9,AVG_9,R_9,G_9,B_9,ControlAVG_9,ControlR_9,ControlG_9,ControlB_9,Survival_9,Cause_9,Comments_9,Date_10,AVG_10,R_10,G_10,B_10,ControlAVG_10,ControlR_10,ControlG_10,ControlB_10,Survival_10,Cause_10,Comments_10,Date_11,AVG_11,R_11,G_11,B_11,ControlAVG_11,ControlR_11,ControlG_11,ControlB_11,Survival_11,Cause_11,Comments_11,Date_12,AVG_12,R_12,G_12,B_12,ControlAVG_12,ControlR_12,ControlG_12,ControlB_12,Survival_12,Cause_12,Comments_12,Date_13,AVG_13,R_13,G_13,B_13,ControlAVG_13,ControlR_13,ControlG_13,ControlB_13,Survival_13,Cause_13,Comments_13,Date_14,AVG_14,R_14,G_14,B_14,ControlAVG_14,ControlR_14,ControlG_14,ControlB_14,Survival_14,Cause_14,Comments_14,Date_15,AVG_15,R_15,G_15,B_15,ControlAVG_15,ControlR_15,ControlG_15,ControlB_15,Survival_15,Cause_15,Comments_15,Date_16,AVG_16,R_16,G_16,B_16,ControlAVG_16,ControlR_16,ControlG_16,ControlB_16,Survival_16,Cause_16,Comments_16
Mineral accretion bleaching,Firefly intertidal,1,11,Porites cylindrica,,MAP,,10-Mar-2021,101.07,101.186,119.986,82.008,160.975,137.011,179.07,166.877,90,,,16-Mar-2021,50.714,56.501,51.684,43.953,128.659,113.64,121.814,150.594,90,,a lot of shadow,24-Mar-2021,117.261,110.371,130.897,110.502,161.23,135.293,170.012,178.356,90,,,31-Mar-2021,111.709,119.572,116.656,98.89,162.667,155.652,159.673,172.415,90,,,07-Apr-2021,135.58,125.689,151.133,129.809,183.226,158.212,191.481,199.978,90,,,14-Apr-2021,110.397,112.43,125.086,93.661,151.923,140.319,158.047,157.293,80,,,21-Apr-2021,101.53,113.437,103.312,87.931,154.482,152.583,148.633,162.345,80,,,05-May-2021,123.009,121.392,126.482,121.148,178.784,163.36,172.407,200.174,80,,,27-May-2021,117.776,125.638,118.059,109.761,183.975,181.132,178.287,192.948,60,,,24-Jun-2021,96.654,120.177,94.258,75.638,181.659,181.659,170.169,181.659,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,12,Pocillopora verrucosa,,MAP,,10-Mar-2021,99.355,103.108,117.676,77.272,176.059,153.542,193.862,180.755,100,,,16-Mar-2021,71.907,91.15,70.858,53.717,154.768,146.96,147.897,169.492,90,,half shadowed,24-Mar-2021,160.947,153.192,168.925,160.764,188.848,166.246,196.222,204.194,90,,,31-Mar-2021,148.297,156.495,145.796,142.529,185.036,181.386,182.487,191.45,90,,,07-Apr-2021,99.279,86.937,107.542,103.319,158.217,131.906,166.447,176.068,85,,,14-Apr-2021,108.828,109.045,115.157,102.226,148.38,136.639,153.674,154.554,90,,,21-Apr-2021,101.634,106.977,98.601,99.201,157.452,153.873,152.647,166.075,80,,,05-May-2021,,,,,,,,,0,Dead,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,13,Millepora tenera,,MAP,,10-Mar-2021,75.983,87.711,95.54,44.684,163.185,140.064,182.605,167.115,80,,,16-Mar-2021,54.516,89.14,52.528,21.832,151.165,142.691,144.018,166.661,80,,,24-Mar-2021,101.525,113.112,114.303,77.154,170.258,143.992,178.066,188.482,60,,,31-Mar-2021,94.13,110.531,96.352,75.589,169.746,163.228,166.803,179.039,40,,,07-Apr-2021,145.329,136.515,158.39,140.96,196.563,172.58,203.869,213.251,20,,,14-Apr-2021,174.294,172.23,182.909,167.551,196.211,186.859,200.401,201.175,10,,,21-Apr-2021,99.617,104.752,98.589,95.373,171.125,168.738,165.458,179.648,10,,,05-May-2021,138.322,137.061,137.863,140.133,187.796,173.629,181.465,208.17,10,,,27-May-2021,67.386,93.181,64.68,44.248,174.732,171.313,169.952,182.682,20,,,24-Jun-2021,76.791,130.98,69.852,29.605,210.027,210.868,204.857,215.009,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,14,Porites cylindrica,,MAP,,10-Mar-2021,95.334,93.655,115.565,76.786,170.379,148.009,189.069,174.302,80,,,16-Mar-2021,162.727,155.239,155.373,177.264,183.295,173.163,176.26,200.374,70,,,24-Mar-2021,117.695,117.695,136.414,117.695,157.296,132.576,165.024,174.183,70,,,31-Mar-2021,116.274,124.114,121.763,102.966,173.679,170.302,170.779,180.343,80,,,07-Apr-2021,125.741,115.442,125.898,129.218,171.196,145.208,179.266,188.941,30,,,14-Apr-2021,126.124,126.857,139.78,111.69,171.936,161.317,177.661,176.749,70,,recovery,21-Apr-2021,108.06,117.03,110.463,96.776,182.416,179.463,177.376,190.708,70,,,05-May-2021,113.611,114.961,118.07,107.735,187.249,171.759,181.348,208.4,30,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,15,Acropora verweyi,,MAP,,10-Mar-2021,86.076,88.509,100.434,69.283,185.622,185.622,199.907,185.622,100,,White spots not included,16-Mar-2021,33.782,49.787,30.282,21.258,150.72,135.984,143.962,172.15,85,,,24-Mar-2021,64.229,74.995,71.397,46.3,165.752,138.85,173.768,184.373,90,,,31-Mar-2021,76.495,97.026,74.94,57.531,191.749,185.271,189.764,200.351,95,,,07-Apr-2021,97.303,92.662,107.722,91.496,167.921,141.965,176.278,185.542,95,,,14-Apr-2021,89.023,91.958,98.349,76.735,156.847,147.519,161.712,161.384,95,,,21-Apr-2021,105.153,113.999,104.969,96.499,161.762,160.045,156.141,168.879,90,,,05-May-2021,110.489,105.911,113.447,112.158,168.161,152.225,161.603,190.685,85,,,27-May-2021,90,90,90,90,130,130,130,130,90,,"Missing data, data imputed from similar fragment",24-Jun-2021,66.677,97.139,59.661,43.275,193.926,196.593,188.86,195.804,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,1,16,Millepora tenera,,MAP,,10-Mar-2021,59.075,66.297,74.884,36.009,146.049,118.795,164.661,154.512,80,,algal matter in top right corner not in white slate brightness,16-Mar-2021,28.949,54.502,26.744,5.618,129.327,117.027,122.16,148.825,80,,some algal haris visible,24-Mar-2021,93.52,107.978,107.215,65.366,154.028,127.119,162.316,172.474,50,,,31-Mar-2021,163.218,179.01,166.668,156.483,199.397,194.66,197.271,206.522,70,,,07-Apr-2021,142.477,131.235,156.516,139.69,184.672,160.33,192.075,201.662,30,,,14-Apr-2021,116.015,118.042,127.298,102.711,180.5,172.92,184.712,184.105,40,,,21-Apr-2021,73.341,79.599,74.561,65.979,126.307,122.842,121.098,135.154,40,,,05-May-2021,129.309,128.791,130.517,128.648,188.312,173.529,182.414,208.923,30,,,27-May-2021,70,110,70,40,200,210,200,210,30,,"Missing data, data imputed from similar fragment",24-Jun-2021,28.713,59.919,21.452,4.759,196.05,196.296,190.94,201.159,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,2,1,Pocillopora verrucosa,,MAP,,10-Mar-2021,79.774,80.741,97.873,60.718,169.677,147.051,189.424,172.818,85,,,16-Mar-2021,77.671,99.24,76.866,56.904,174.086,165.507,168.265,188.393,85,,big shadow over half,24-Mar-2021,129.444,118.105,140.202,129.963,174.014,149.636,180.568,191.886,85,,pink,31-Mar-2021,130.667,137.06,130.309,124.632,174.388,168.413,171.349,183.252,85,,,07-Apr-2021,133.561,118.108,144.296,138.207,177.023,150.193,184.83,195.825,80,,,14-Apr-2021,116.358,122.63,122.559,103.912,162.618,159.383,166.165,162.443,85,,,21-Apr-2021,112.983,119.138,110.75,108.967,167.311,164.491,162.415,175.195,80,,,05-May-2021,113.345,110.241,113.407,116.432,173.466,157.482,167.344,195.596,75,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,2,2,Porites cylindrica,,MAP,,10-Mar-2021,93.442,89.424,114.877,75.924,167.81,143.756,188.057,171.746,70,,,16-Mar-2021,63.575,74.057,66.698,50.014,158.902,150.944,151.887,173.684,70,,,24-Mar-2021,87.694,87.694,116.336,87.694,179.814,158.322,186.242,195.122,50,,,31-Mar-2021,67.753,78.388,78.165,46.757,187.638,182.313,185.201,195.59,10,,,07-Apr-2021,135.913,129.721,155.237,122.705,179.273,154.396,186.524,196.784,20,,,14-Apr-2021,141.271,157.698,155.951,110.146,188.034,185.549,191.021,187.482,20,,,21-Apr-2021,,,,,,,,,0,Dead,,05-May-2021,,,,,,,,,0,Dead,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,2,3,Acropora verweyi,,MAP,,10-Mar-2021,77.045,77.741,90.837,62.501,176.219,153.841,195.451,179.53,90,,,16-Mar-2021,45.153,64.078,40.465,30.939,194.566,187.294,188.936,207.416,90,,,24-Mar-2021,40.07,43.499,46.577,30.106,133.673,103.524,141.981,155.586,90,,,31-Mar-2021,74.273,94.44,71.808,56.594,188.234,182.907,186.027,195.974,90,,,07-Apr-2021,86.012,80.8,95.501,81.695,161.805,131.408,172.117,181.921,90,,,14-Apr-2021,118.119,129.671,124.365,100.37,174.091,171.878,177.241,173.104,90,,,21-Apr-2021,97.502,101.963,98.148,92.424,159.604,153.934,155.229,169.716,90,,,05-May-2021,97.465,93.273,98.624,100.507,164.359,146.925,158.879,187.153,90,,,27-May-2021,61.9,70.291,59.699,55.661,155.679,154.06,150.607,162.547,85,,,24-Jun-2021,42.874,75.925,35.79,16.954,193.332,193.04,187.751,199.214,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,2,4,Pocillopora verrucosa,,MAP,,10-Mar-2021,89.275,92.709,108.33,66.836,180.301,159.022,198.618,183.575,90,,,16-Mar-2021,88.265,109.893,85.496,69.402,196.316,196.316,175.663,196.316,80,,,24-Mar-2021,100.038,89.603,107,103.478,152.319,126.229,160.435,170.319,90,,pink,31-Mar-2021,137.33,142.716,134.971,134.187,187.458,183.076,185.484,194.021,85,,,07-Apr-2021,119.209,104.955,127.745,124.881,170.358,144.498,178.403,188.09,85,,,14-Apr-2021,119.413,124.272,124.472,109.429,163.417,159.122,167.226,164.009,70,,,21-Apr-2021,100.573,99.973,100.017,101.784,168.227,162.056,164.32,178.532,90,,,05-May-2021,,,,,,,,,0,Dead,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,2,5,Pocillopora verrucosa,,MAP,,10-Mar-2021,83.306,85.618,101.328,62.988,177.047,154.428,196.549,180.239,90,,,16-Mar-2021,44.058,53.372,43.464,35.365,112.418,96.164,106.473,134.644,90,,huge shadow,24-Mar-2021,90.779,80.709,97.495,94.093,165.776,165.776,155.017,165.776,90,,pink,31-Mar-2021,133.994,137.73,131.802,132.367,199.029,191.453,196.948,208.604,90,,pink,07-Apr-2021,106.263,90.911,115.242,112.548,165.983,138.009,174.949,184.853,90,,,14-Apr-2021,125.373,130.982,129.883,115.227,173.463,170.273,177.353,172.809,80,,,21-Apr-2021,114.692,121.024,110.528,112.359,179.469,177.028,174.143,187.261,80,,,05-May-2021,129.548,129.548,120.276,129.548,182.834,166.95,176.941,204.315,10,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
